timestamp,count,uniques,metric,value,rank,repo
2023-03-20 00:00:00+00:00,5,1,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/integration_tests/data/expected,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,3,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/models/sessions,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,2,popular/paths,/snowplow/dbt-snowplow-ecommerce/pull/17,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,24,4,popular/referrers,github.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,15,7,popular/referrers,hub.getdbt.com,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,12,5,popular/referrers,Google,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,1,1,popular/referrers,snowplow.io,4,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,6,4,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,52,5,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,5,4,views,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,7,2,views,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,11,3,views,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,10,2,views,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,3,3,views,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,6,1,views,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,12,2,views,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,14,3,views,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,20,1,views,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,11,2,views,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,12,2,views,,,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,11,11,clones,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,25,24,clones,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,35,29,clones,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,47,25,clones,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,44,26,clones,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,25,25,clones,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,43,27,clones,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,29,24,clones,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,45,23,clones,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,14,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,59,18,popular/paths,/snowplow/dbt-snowplow-normalize,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,25,4,popular/paths,/snowplow/dbt-snowplow-normalize/tree/main/macros,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,23,3,popular/paths,/snowplow/dbt-snowplow-normalize/blob/main/models/base/scratch/databricks/snowplow_normalize_base_events_this_run.sql,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,20,7,popular/paths,/snowplow/dbt-snowplow-normalize/tree/main/models,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,19,5,popular/paths,/snowplow/dbt-snowplow-normalize/tree/main/models/base,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,15,4,popular/paths,/snowplow/dbt-snowplow-normalize/pulls,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,4,popular/paths,/snowplow/dbt-snowplow-normalize/tree/main/utils,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,3,popular/paths,/snowplow/dbt-snowplow-normalize/blob/main/macros/normalize_events.sql,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,13,4,popular/paths,/snowplow/dbt-snowplow-normalize/pull/25,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,13,4,popular/paths,/snowplow/dbt-snowplow-normalize/tree/main/models/base/manifest,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,78,8,popular/referrers,github.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,64,1,popular/referrers,iglucentral.com,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,11,3,popular/referrers,hub.getdbt.com,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,3,3,popular/referrers,Google,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,3,1,popular/referrers,com.google.android.gm,5,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,15,2,views,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,175,5,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,9,4,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,42,4,views,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,82,7,views,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,115,8,views,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,3,1,views,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,46,3,views,,,dbt-snowplow-normalize
